holistic,hōˈlistik,целостный,characterized by comprehension of the parts of something as intimately interconnected and explicable only by reference to the whole.
conversely,kənˈvərslē,наоборот; обратно; вспять,introducing a statement or idea that reverses one that has just been made or referred to.
to arise,əˈrīz,возникать; появляться; происходить,"(of a problem, opportunity, or situation) emerge; become apparent."
relentless,riˈlentləs,неослабевающий; неустанный; беспощадный; беспощадный; ,oppressively constant; incessant.
resentment,riˈzentmənt,чувство обиды; негодование; возмущение,bitter indignation at having been treated unfairly.
to ride the wave of,,"""быть на гребне волны""","to enjoy the advantage of or continue to benefit from a situation that is successful, fortunate, trendy, etc."
to goof off,go͞of ôf,бездельничать,
to air your views,,поделиться своими взглядами; выразить свое мнение.,
deliberately,diˈlibəritlē,сознательно; умышленно; медленно; осторожно,consciously and intentionally; on purpose. in a careful and unhurried way.
meticulous,məˈtikyələs,тщательный; дотошный; мелочный,showing great attention to detail; very careful and precise.
pursuit,pərˈso͞ot,стремление; преследование; погоня,"the action of following or pursuing someone or something. an activity of a specified kind, especially a recreational or athletic one."
to pursue,pərˈso͞o,преследовать; продолжать; гнаться за; следовать по намеченному пути,follow (someone or something) in order to catch or attack them. (of a person or way) continue or proceed along (a path or route).
indivisible,ˈindiˈvizəbəl,неделимый; нераздельный,unable to be divided or separated.
brittle,ˈbritl,ломкий; хрупкий,hard but liable to break or shatter easily.
fragile,ˈfrajəl,хрупкий; ломкий; слабый; недолговечный,(of an object) easily broken or damaged.
caveat,ˈkavēˌät,предостережение; протест,"a warning or proviso of specific stipulations, conditions, or limitations."
palatable,ˈpalətəbəl,приятный; вкусный; аппетитный,(of food or drink) pleasant to taste.
agonizing,ˈagəˌnīziNG,мучительный; страшный,causing great physical or mental pain.
dimension,diˈmenCHən,измерение; размер; размерность; величина; объем; протяжение,"an aspect or feature of a situation, problem, or thing. a measurable extent of some kind, such as length, breadth, depth, or height."
hence,hens,следовательно; отсюда; с этих пор,as a consequence; for this reason. in the future (used after a period of time). from here.
to assemble,əˈsembəl,собирать; собираться,(of people) gather together in one place for a common purpose. fit together the separate component parts of (a machine or other object).
swap,swäp,обмен; сделка,an act of exchanging one thing for another.
to swap,swäp,менять; обменивать,take part in an exchange of.
inevitable,inˈevitəbəl,неизбежный; неминуемый; неизменный,certain to happen; unavoidable.
unanimous,yo͞oˈnanəməs,единогласный; единодушный,(of two or more people) fully in agreement.
dishonest,disˈänist,нечестный; мошеннический,behaving or prone to behave in an untrustworthy or fraudulent way.
rightly,ˈrītlē,справедливо; правильно; должным образом,correctly.
comprehensive,ˌkämpriˈhensiv,всесторонний; исчерпывающий; понятливый; легко схватывающий,complete; including all or nearly all elements or aspects of something.
thorough,ˈTHərō,тщательный; полный; подробный; основательный,complete with regard to every detail; not superficial or partial.
prerequisite,prēˈrekwəzət,предпосылка,a thing that is required as a prior condition for something else to happen or exist.
to bloat,blōt,раздуваться; пухнуть; коптить,make or become swollen with fluid or gas. cure (a herring) by salting and smoking it lightly.
big cheese,big CHēz,"""большая шишка""; важная персона",
to fuss,fəs,суетиться; волноваться из-за пустяков,show unnecessary or excessive concern about something.
delight,diˈlīt,"восторг, наслаждение, удовольствие, восхищение",great pleasure.
to delight,diˈlīt,"наслаждаться, восхищаться, восхищать",please (someone) greatly.
in spite of this,,несмотря на это,
as a matter of fact,,"по сути дела, на самом деле, фактически",
spine,spīn,позвоночник; шип; игла; колючка,"a series of vertebrae extending from the skull to the small of the back, enclosing the spinal cord and providing support for the thorax and abdomen; the backbone. any hard pointed defensive projection or structure, such as a prickle of a hedgehog, a spikelike projection on a sea urchin, a sharp ray in a fish's fin, or a spike on the stem of a plant."
*,ˈastəˌrisk,звездочка,
“”,ˌkwōˈtāSHən märks,кавычки,
',ˈsiNGgəl kwōt,одинарная кавычка,
"""",ˈdəbəl kwōt,двойная кавычка,
@,at,коммерческое at,
~,ˈtildə,тильда,
_,ˌʌn.dɚˈskɔːr,подчеркивание,
&,ˈampərˌsand,амперсант,
:,ˈkōlən,двоеточие,
;,ˈsemiˌkōlən,точка с запятой,
–,daSH,тире,
‐,ˈhīfən,дефис,
(),pəˈrɛnθɪsiːz,круглые скобки,
[],ˈbrakits,скобки,
/,ˈfôrwərd slaSH,приямая косая черта,
"\\",ˈbakwərd slaSH,обратная косая черта,
observant,əbˈzərvənt,наблюдательный; соблюдающий; внимательный; исполнительный,"quick to notice things. adhering strictly to the rules of a particular religion, especially Judaism."
punctual,ˈpəNGkCHo͞oəl,"пунктуальны, аккуратный, точный",happening or doing something at the agreed or proper time; on time.
subsequent,ˈsəbsəkwənt,последующий,coming after something in time; following.
vital,ˈvītl,жизненно важный; существенный; энергичный,absolutely necessary or important; essential. full of energy; lively. fatal.
to insist (on),inˈsist,настоять; настаивать; утверждать,"demand something forcefully, not accepting refusal."
likelihood,ˈlīklēˌho͝od,"вероятность, многообещающая будущность",the state or fact of something's being likely; probability.
explicit,ikˈsplisit,явный; точный; откровенный; подробный,"stated clearly and in detail, leaving no room for confusion or doubt."
implicit,imˈplisit,неявный; скрытый; подразумеваемый; безоговорочный,implied though not plainly expressed. with no qualification or question; absolute.
to defend,diˈfend,защищать; защищаться; отстаивать,resist an attack made on (someone or something); protect from harm or danger.
to preserve,priˈzərv,сохранять; хранить; охранять,maintain (something) in its original or existing state.
disparate,diˈsparit,"несоизмеримый, в корне отличный, несопоставимый",essentially different in kind; not allowing comparison.
desperation,ˌdespəˈrāSHən,безрассудство; отчаяние; безумие,"a state of despair, typically one that results in rash or extreme behavior."
to contradict,ˌkäntrəˈdikt,противоречить; возражать; опровергать; отрицать,"deny the truth of (a statement), especially by asserting the opposite."
compliance,kəmˈplīəns,соблюдение; согласие; податливость; уступчивость,the action or fact of complying with a wish or command. the property of a material of undergoing elastic deformation or (of a gas) change in volume when subjected to an applied force. It is equal to the reciprocal of stiffness.
incredibly,inˈkredəblē,невероятно,to a great degree; extremely or unusually. used to introduce a statement that is hard to believe; strangely.
gloomy,ˈglo͞omē,мрачный; угрюмый; хмурый; сумрачный; темный; унылый; печальный,"dark or poorly lit, especially so as to appear depressing or frightening."
poison,ˈpoizən,яд,a substance that is capable of causing the illness or death of a living organism when introduced or absorbed.
to poison,ˈpoizən,отравлять; портить,"administer poison to (a person or animal), either deliberately or accidentally."
poisonous,ˈpoiz(ə)nəs,ядовитый; отвратительный; противный,(of a substance or plant) causing or capable of causing death or illness if taken into the body.
sword,sôrd,меч; война; сила оружия,"a weapon with a long metal blade and a hilt with a hand guard, used for thrusting or striking and now typically worn as part of ceremonial dress."
easy-peasy,iːzɪˈpiːzi,очень просто,very straightforward and easy (used by or as if by children).
quarrel,ˈkwôrəl,ссора; спор,"an angry argument or disagreement, typically between people who are usually on good terms."
to quarrel,ˈkwôrəl,ссориться; спорить; разругаться,have an angry argument or disagreement.
to regain,riˈgān,вернуть себе; восстанавливать; отыгрывать,obtain possession or use of (something) again after losing it.
acquaintance,əˈkwāntns,знакомство; знакомый,"a person's knowledge or experience of something. a person one knows slightly, but who is not a close friend."
to get familiar (with),get fəˈmilyər,"ознакомиться, познакомиться",
to convince,kənˈvins,убеждать; уверять; доводить до сознания,cause (someone) to believe firmly in the truth of something.
to disclose,disˈklōz,раскрывать; вскрывать; разоблачать; обнаруживать,make (secret or new information) known.
nevertheless,ˌnevərT͟Həˈles,тем не менее; однако; несмотря на это,in spite of that; notwithstanding; all the same.
to rule out,ro͞ol out,исключать,
ugly,ˈəglē,уродливый; безобразный; неприятный,"unpleasant or repulsive, especially in appearance."
